dokumen,0.05,0.1,0.2,0.3
"Deputi Bidang Geofisika BMKG, Muhammad Fadly, mengatakan ada peningkatan frekuensi gempa bumi pada 2018 dibanding tahun-tahun sebelumnya.",no,no,yes,yes
"""Terus ada gempa bumi, baik di Palu, Sulawesi Tengah, Sulawesi Selatan, Lombok, Aceh, Sumatera, Nias.",no,no,no,no
Jadi memang saat ini sesar atau patahan itu sedang aktif-aktifnya.,no,no,no,no
"Tapi tidak apa-apa, yang penting tidak besar magnitudonya.",no,no,no,no
"Itu kan pelepasan energi untuk mencapai kestabilan,"" ujar Deputi Bidang Geofisika BMKG, Muhammad Fadly, dalam percakapan dengan BBC News Indonesia, beberapa waktu lalu.",no,no,yes,yes
"""Kecuali di suatu tempat belum ada gempa, tapi kita tahu ada sesar atau patahan di sana.",no,no,no,no
"Itu yang bahaya,"" sambungnya.",no,no,no,no
Karena itu saban hari BMKG bekerja mendeteksi goncangan-goncangan akibat gempa dengan menggunakan 175 seismograf.,no,no,yes,yes
"Alat itu, menurut Muhamad Fadly, sesungguhnya masih sangat kurang dari angka ideal yakni 1.000 seismograf.",no,no,no,no
"Ia berkaca pada Jepang yang luas negaranya seperlima Indonesia saja, punya 1.500 alat deteksi.",no,no,yes,yes
"""Sensor itu kan dipasang sejak 2006.",no,no,no,no
"Kalau sekarang berarti sudah banyak yang rusak, pemeliharaannya juga setengah mati.",no,no,no,no
"Jadi yang sudah tidak berfungsi, kita ganti.",no,no,no,no
"Jadi ya sampai jumlahnya tetap segitu saja,"" jelasnya.",no,no,no,no
"Lantaran kurangnya seismograf, data gempa bumi yang diterima dan diolah BMKG tidak presisi.",no,no,yes,yes
"Karena itu, dia berharap tahun depan BMKG bisa menambah alat pendeteksi itu hingga mencapai 200.",no,no,no,yes
"""Ya meski masih kurang, tapi karena keterbatasan anggaran.""",no,no,no,no
"Meski tak bisa memprediksi kapan gempa bumi terjadi, BMKG akan memaksimalkan peralatan yang ada untuk menyebarkan informasi kepada pemerintah daerah maupun Badan Nasional Penanggulangan Bencana (BNPB).",no,no,no,yes
"Beberapa medium yang dipakai seperti media sosial, website, dan aplikasi berbasis telepon pintar.",no,no,no,no
"Sementara itu, koordinasi antarlembaga yang selama ini macet, kata Muhamad Fadly, tengah dicarikan jalan keluarnya.",no,no,no,yes
Sebab BMKG hanya bisa mendeteksi terjadinya tsunami yang disebabkan gempa bumi.,no,no,no,yes
"Sedangkan penyebab dari gunung api atau longsor, nihil.",no,no,no,yes
"""Gunung api di Indonesia kan banyak, kalau jaringan BMKG bisa masuk ke situ, pemantauan bisa jadi lebih cepat.",no,no,no,no
"Jadi ke depan sudah dibicarakan supaya kita bisa masuk ke jaringan PVMBG.""",no,no,no,no
